direction,anomaly_type,witness_a,witness_b,descriptor_match,verdict_a,verdict_b,severity,details,anomaly_id
target_specific_design,d_criterion_failure,W00002,W00004,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00001
target_specific_design,a_criterion_failure,W00002,W00004,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00002
target_specific_design,e_criterion_failure,W00003,W00004,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00003
target_specific_design,d_criterion_failure,W00007,W00008,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00004
target_specific_design,a_criterion_failure,W00007,W00008,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00005
target_specific_design,e_criterion_failure,W00007,W00008,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00006
target_specific_design,d_criterion_failure,W00009,W00012,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00007
target_specific_design,a_criterion_failure,W00011,W00012,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00008
target_specific_design,e_criterion_failure,W00011,W00012,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00009
target_specific_design,d_criterion_failure,W00014,W00016,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00010
target_specific_design,a_criterion_failure,W00014,W00016,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00011
target_specific_design,e_criterion_failure,W00015,W00016,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00012
target_specific_design,d_criterion_failure,W00018,W00020,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00013
target_specific_design,a_criterion_failure,W00018,W00020,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00014
target_specific_design,e_criterion_failure,W00019,W00020,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00015
target_specific_design,d_criterion_failure,W00021,W00024,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00016
target_specific_design,a_criterion_failure,W00023,W00024,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00017
target_specific_design,e_criterion_failure,W00023,W00024,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00018
target_specific_design,d_criterion_failure,W00027,W00028,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00019
target_specific_design,a_criterion_failure,W00027,W00028,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00020
target_specific_design,e_criterion_failure,W00027,W00028,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00021
target_specific_design,d_criterion_failure,W00031,W00032,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00022
target_specific_design,a_criterion_failure,W00031,W00032,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00023
target_specific_design,e_criterion_failure,W00031,W00032,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00024
target_specific_design,d_criterion_failure,W00033,W00036,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00025
target_specific_design,a_criterion_failure,W00035,W00036,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00026
target_specific_design,e_criterion_failure,W00035,W00036,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00027
target_specific_design,d_criterion_failure,W00039,W00040,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00028
target_specific_design,a_criterion_failure,W00039,W00040,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00029
target_specific_design,e_criterion_failure,W00039,W00040,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00030
target_specific_design,d_criterion_failure,W00043,W00044,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00031
target_specific_design,a_criterion_failure,W00043,W00044,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00032
target_specific_design,e_criterion_failure,W00043,W00044,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00033
target_specific_design,d_criterion_failure,W00046,W00048,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00034
target_specific_design,a_criterion_failure,W00046,W00048,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00035
target_specific_design,e_criterion_failure,W00047,W00048,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00036
target_specific_design,d_criterion_failure,W00049,W00052,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00037
target_specific_design,a_criterion_failure,W00051,W00052,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00038
target_specific_design,e_criterion_failure,W00051,W00052,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00039
target_specific_design,d_criterion_failure,W00055,W00056,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00040
target_specific_design,a_criterion_failure,W00055,W00056,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00041
target_specific_design,e_criterion_failure,W00055,W00056,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00042
target_specific_design,d_criterion_failure,W00059,W00060,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00043
target_specific_design,a_criterion_failure,W00059,W00060,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00044
target_specific_design,e_criterion_failure,W00059,W00060,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00045
target_specific_design,d_criterion_failure,W00063,W00064,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00046
target_specific_design,a_criterion_failure,W00063,W00064,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00047
target_specific_design,e_criterion_failure,W00063,W00064,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00048
target_specific_design,d_criterion_failure,W00067,W00068,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00049
target_specific_design,a_criterion_failure,W00067,W00068,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00050
target_specific_design,e_criterion_failure,W00067,W00068,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00051
target_specific_design,d_criterion_failure,W00071,W00072,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00052
target_specific_design,a_criterion_failure,W00071,W00072,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00053
target_specific_design,e_criterion_failure,W00071,W00072,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00054
target_specific_design,d_criterion_failure,W00075,W00076,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00055
target_specific_design,a_criterion_failure,W00075,W00076,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00056
target_specific_design,e_criterion_failure,W00075,W00076,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00057
target_specific_design,d_criterion_failure,W00077,W00080,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00058
target_specific_design,a_criterion_failure,W00079,W00080,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00059
target_specific_design,e_criterion_failure,W00079,W00080,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00060
target_specific_design,d_criterion_failure,W00083,W00084,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00061
target_specific_design,a_criterion_failure,W00083,W00084,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00062
target_specific_design,e_criterion_failure,W00083,W00084,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00063
target_specific_design,d_criterion_failure,W00085,W00088,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00064
target_specific_design,a_criterion_failure,W00087,W00088,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00065
target_specific_design,e_criterion_failure,W00087,W00088,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00066
target_specific_design,d_criterion_failure,W00089,W00092,same pool and budget,not_exact,exact,high,"D-selected alpha=0.0000, alpha-selected alpha=1.0000",A00067
target_specific_design,a_criterion_failure,W00090,W00092,same pool and budget,not_exact,exact,high,"A-selected alpha=0.0000, alpha-selected alpha=1.0000",A00068
target_specific_design,e_criterion_failure,W00091,W00092,same pool and budget,not_exact,exact,high,"E-selected alpha=0.0000, alpha-selected alpha=1.0000",A00069
