anomaly_id,anomaly_type,descriptor_signature,evidence_families,count,status,notes
aop_0,same_descriptor_opposite_invariant_verdict,n8|p4|q3|k4|budget16|stackr4|targetr3,ao_pair_0_good;ao_pair_0_bad;ao_pair_38_good;ao_pair_38_bad;ao_pair_71_good;ao_pair_71_bad,6,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_1,same_descriptor_opposite_invariant_verdict,n7|p4|q3|k4|budget16|stackr4|targetr3,ao_pair_1_good;ao_pair_1_bad;ao_pair_25_good;ao_pair_25_bad;ao_extra_138,5,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_2,same_descriptor_opposite_invariant_verdict,n7|p4|q2|k2|budget8|stackr4|targetr2,ao_pair_2_good;ao_pair_2_bad;ao_pair_23_good;ao_pair_23_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_3,same_descriptor_opposite_invariant_verdict,n8|p4|q2|k3|budget12|stackr4|targetr2,ao_pair_3_good;ao_pair_3_bad;ao_pair_6_good;ao_pair_6_bad;ao_pair_18_good;ao_pair_18_bad,6,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_4,same_descriptor_opposite_invariant_verdict,n8|p5|q3|k2|budget10|stackr5|targetr3,ao_pair_4_good;ao_pair_4_bad;ao_pair_24_good;ao_pair_24_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_5,same_descriptor_opposite_invariant_verdict,n6|p3|q3|k3|budget9|stackr3|targetr3,ao_pair_5_good;ao_pair_5_bad;ao_pair_57_good;ao_pair_57_bad;ao_pair_61_good;ao_pair_61_bad,6,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_6,same_descriptor_opposite_invariant_verdict,n7|p4|q2|k4|budget16|stackr4|targetr2,ao_pair_7_good;ao_pair_7_bad;ao_pair_49_good;ao_pair_49_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_7,same_descriptor_opposite_invariant_verdict,n9|p5|q3|k3|budget15|stackr5|targetr3,ao_pair_8_good;ao_pair_8_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_8,same_descriptor_opposite_invariant_verdict,n8|p4|q3|k3|budget12|stackr4|targetr3,ao_pair_9_good;ao_pair_9_bad;ao_pair_11_good;ao_pair_11_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_9,same_descriptor_opposite_invariant_verdict,n7|p5|q3|k4|budget20|stackr5|targetr3,ao_pair_10_good;ao_pair_10_bad;ao_pair_56_good;ao_pair_56_bad,4,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_10,same_descriptor_opposite_invariant_verdict,n9|p3|q2|k4|budget12|stackr3|targetr2,ao_pair_12_good;ao_pair_12_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_11,same_descriptor_opposite_invariant_verdict,n9|p3|q3|k2|budget6|stackr3|targetr3,ao_pair_13_good;ao_pair_13_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_12,same_descriptor_opposite_invariant_verdict,n7|p3|q2|k2|budget6|stackr3|targetr2,ao_pair_14_good;ao_pair_14_bad,2,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
aop_13,same_descriptor_opposite_invariant_verdict,n6|p3|q2|k3|budget9|stackr3|targetr2,ao_pair_15_good;ao_pair_15_bad;ao_pair_68_good;ao_pair_68_bad;ao_pair_74_good;ao_pair_74_bad,6,PROVED ON SUPPORTED FAMILY,descriptor-only summaries fail again under agreement-operator diagnostics
