claim_id,short_statement,branch,current_status_label,source_files,claim_kind,current_evidence_type,test_method_to_use,falsification_risk_level,final_verdict
OCP-001,Formal OCP tuple,A,PROVED,`docs/formalism/formal-theory.md`,theorem,repo-local definition and consistency checks,exact linear algebra + projector witness search,Medium,PROVED
OCP-002,Exact orthogonal projection theorem,A,PROVED,`docs/theorem-candidates/central-theorem.md; tests/math/test_core_projectors.py`,theorem,linear-algebra proof and tests,exact linear algebra + projector witness search,Medium,PROVED
OCP-003,Indistinguishability no-go,A,PROVED,`docs/impossibility-results/no-go-results.md`,theorem,elementary contradiction proof,exact linear algebra + projector witness search,Medium,PROVED
OCP-004,Continuous damping theorem,E,PROVED,`docs/theorem-candidates/backup-theorems.md; tests/math/test_core_projectors.py`,theorem,closed-form solution and tests,spectral decomposition + non-normal generator stress tests,Medium,PROVED
OCP-005,QEC exact anchor,B,CONDITIONAL,`docs/qec/qec-in-ocp.md; tests/math/test_qec_knill_laflamme.py`,theorem,standard QEC theorem plus repo-local rewrite,sector overlap witness + basis-invariant checks,Medium,CONDITIONAL
OCP-006,Helmholtz/Leray exact continuous anchor,C,PROVED,`docs/mhd/divergence-cleaning-in-ocp.md; tests/math/test_mhd_projection.py`,theorem,FFT operator construction and tests,FFT/Helmholtz recomputation + idempotence tests,Medium,PROVED
OCP-007,GLM as asymptotic OCP,J,CONDITIONAL,`docs/mhd/glm-and-asymptotic-correction.md; tests/examples/test_glm_decay.py`,theorem,implementation analysis and empirical reduction tests,bridge-scope check + theorem-vs-analogy separation,High,CONDITIONAL
OCP-008,Control-theoretic instantiation,J,CONDITIONAL,`docs/control/control-extension.md`,theorem,structural control analysis,bridge-scope check + theorem-vs-analogy separation,High,CONDITIONAL
OCP-009,Universal scalar correction capacity,K,OPEN,`NOVELTY_AND_LIMITS.md; docs/impossibility-results/no-go-results.md`,theorem,failed unification attempt,meta-layer overlap and invariant reproducibility checks,High,OPEN
OCP-010,Topological Adam / ML extension,K,ANALOGY ONLY,`docs/disproven-or-weak/weak-extensions.md`,bridge,local sibling-repo evidence is too weak,meta-layer overlap and invariant reproducibility checks,High,ANALOGY ONLY
OCP-011,Engineering design value,I,CONDITIONAL,`docs/applications/practical-use-cases.md`,tool,operator examples and no-go criteria,workbench consistency tests + export/label checks,Medium,CONDITIONAL
OCP-012,Exact-to-asymptotic bridge,I,CONDITIONAL,`docs/formalism/exact-vs-asymptotic.md`,bridge,formalism + exact and asymptotic branches,workbench consistency tests + export/label checks,High,CONDITIONAL
OCP-013,Invariant-split generator theorem,E,PROVED,`docs/theorem-candidates/generator-theorems.md; tests/math/test_continuous_generators.py`,theorem,linear ODE proof and tests,spectral decomposition + non-normal generator stress tests,Medium,PROVED
OCP-014,Self-adjoint PSD corollary,E,PROVED,`docs/theorem-candidates/generator-theorems.md; tests/math/test_continuous_generators.py`,theorem,spectral proof and tests,spectral decomposition + non-normal generator stress tests,Medium,PROVED
OCP-015,Mixing no-go for linear flows,E,PROVED,`docs/impossibility-results/no-go-results.md; tests/math/test_continuous_generators.py`,theorem,derivative-at-zero argument and tests,spectral decomposition + non-normal generator stress tests,Medium,PROVED
OCP-016,Exact correction rank lower bound,A,PROVED,`docs/theorem-candidates/capacity-theorems.md; tests/math/test_capacity.py`,theorem,linear-algebra proof and tests,exact linear algebra + projector witness search,Medium,PROVED
OCP-017,Sector distinguishability lower bound,B,CONDITIONAL,`docs/theorem-candidates/capacity-theorems.md; tests/math/test_capacity.py`,theorem,sector-based argument plus QEC example,sector overlap witness + basis-invariant checks,Medium,CONDITIONAL
