claim_id,source_program,claim_name,statement,status_label,scope_note,evidence_ref,object_family,theorem_role,novelty_position
CFD-SDS,cfd,SDS central role in CFD core,SDS plays direct central theorem role in CFD branch.,ANALOGY ONLY,ANALOGY ONLY,repos/cfd-research-program/docs/cross-repo/relations.md,engineering_layer,useful but only as language,open
GRAV-K1,gravity,restricted hidden-mass no-go survivor,killer-pass label=SURVIVES,PROVED,killer-pass,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_killer_pass.json,amount_no_go,already part of negative theory,plausibly distinct (restricted)
GRAV-K2,gravity,compatibility augmentation survivor,killer-pass label=SURVIVES,PROVED,killer-pass,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_killer_pass.json,capacity_quantification,useful and mathematically promotable,repo-new only / scoped
GRAV-K3,gravity,universal cross-domain version,killer-pass label=COLLAPSES,DISPROVED,killer-pass,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_killer_pass.json,capacity_quantification,dead end / collapse / duplicate / reformulation only,collapse
GRAV-T1,gravity,no amount-only exact classifier (hidden-mass class),IDELB baseline = 0.1842 on declared hidden-mass witness class.,PROVED,restricted finite witness class,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_theorem_checks.json,amount_no_go,useful and mathematically promotable,plausibly distinct (restricted)
GRAV-T1AUG,gravity,compatibility-augmented descriptor improvement,Compatibility/ambiguity augmentation reduces IDELB by relative lift 0.5714.,VALIDATED,restricted hidden-mass class,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_theorem_checks.json,capacity_quantification,useful and mathematically promotable,plausibly distinct (restricted)
GRAV-T2,gravity,strict target-coarsening threshold order,k* ordering law for coarse->medium->fine target classes in Hawking surrogate.,DISPROVED,surrogate lane,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_theorem_checks.json,target_hierarchy,dead end / collapse / duplicate / reformulation only,collapse
GRAV-T3,gravity,compatibility threshold under degradation,"noise-vs-defect corr=0.9996, noise-vs-CD corr=0.9946",VALIDATED,surrogate lane,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_theorem_checks.json,closure_obstruction,already part of positive theory,plausibly distinct (restricted)
GRAV-T4,gravity,model-mismatch instability witness,n_witnesses=1,VALIDATED,real hidden-mass lane,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_theorem_checks.json,model_mismatch,already part of positive theory,plausibly distinct (restricted)
GRAV-T5,gravity,alignment criterion strength,alignment-vs-defect correlation compared with entropy/fisher correlations,VALIDATED,quantum lane,/Users/stevenreid/Documents/New project/data/generated/gravity_recoverability/gravity_theorem_checks.json,capacity_quantification,useful and mathematically promotable,repo-new only / scoped
INFO-T1,information_physics,SPARC amount-only anti-classifier no-go,"IDELB baseline=0.2, augmented=0.03571428571428571",PROVED,real-system witness class,/Users/stevenreid/Documents/New project/data/generated/information_research/high_pressure_summary.json,amount_no_go,already part of negative theory,plausibly distinct (restricted)
