anomaly_id,anomaly_type,descriptor_signature,family_count,shared_exact_values,evidence_families,severity,notes
mc_a_0,same_descriptor_opposite_shared_verdict,n7|k3|m2|r2|b6,29,"0,1",ctxfam_2;ctxfam_49;ctxfam_50;ctxfam_132;ctxfam_232;ctxfam_264;ctxfam_474;ctxfam_476,high,same rank/count/budget signature with opposite invariant verdict
mc_a_1,same_descriptor_opposite_shared_verdict,n5|k4|m2|r2|b8,32,"0,1",ctxfam_3;ctxfam_16;ctxfam_60;ctxfam_107;ctxfam_114;ctxfam_282;ctxfam_466;ctxfam_501,high,same rank/count/budget signature with opposite invariant verdict
mc_a_2,same_descriptor_opposite_shared_verdict,n5|k2|m2|r3|b4,45,"0,1",ctxfam_4;ctxfam_71;ctxfam_103;ctxfam_130;ctxfam_134;ctxfam_213;ctxfam_272;ctxfam_284,high,same rank/count/budget signature with opposite invariant verdict
mc_a_3,same_descriptor_opposite_shared_verdict,n7|k4|m2|r2|b8,32,"0,1",ctxfam_7;ctxfam_9;ctxfam_99;ctxfam_160;ctxfam_178;ctxfam_183;ctxfam_251;ctxfam_297,high,same rank/count/budget signature with opposite invariant verdict
mc_a_4,same_descriptor_opposite_shared_verdict,n4|k2|m2|r3|b4,49,"0,1",ctxfam_10;ctxfam_44;ctxfam_65;ctxfam_83;ctxfam_98;ctxfam_122;ctxfam_124;ctxfam_152,high,same rank/count/budget signature with opposite invariant verdict
mc_a_5,same_descriptor_opposite_shared_verdict,n6|k2|m2|r3|b4,43,"0,1",ctxfam_17;ctxfam_33;ctxfam_176;ctxfam_187;ctxfam_205;ctxfam_256;ctxfam_263;ctxfam_360,high,same rank/count/budget signature with opposite invariant verdict
mc_a_6,same_descriptor_opposite_shared_verdict,n6|k3|m2|r4|b6,43,"0,1",ctxfam_19;ctxfam_46;ctxfam_216;ctxfam_248;ctxfam_291;ctxfam_489;ctxfam_619;ctxfam_675,high,same rank/count/budget signature with opposite invariant verdict
mc_a_7,same_descriptor_opposite_shared_verdict,n5|k3|m2|r4|b6,49,"0,1",ctxfam_22;ctxfam_32;ctxfam_77;ctxfam_113;ctxfam_179;ctxfam_189;ctxfam_204;ctxfam_230,high,same rank/count/budget signature with opposite invariant verdict
mc_a_8,same_descriptor_opposite_shared_verdict,n5|k5|m2|r2|b10,37,"0,1",ctxfam_23;ctxfam_69;ctxfam_286;ctxfam_302;ctxfam_304;ctxfam_327;ctxfam_385;ctxfam_388,high,same rank/count/budget signature with opposite invariant verdict
mc_a_9,same_descriptor_opposite_shared_verdict,n4|k5|m2|r2|b10,25,"0,1",ctxfam_25;ctxfam_81;ctxfam_275;ctxfam_277;ctxfam_357;ctxfam_377;ctxfam_617;ctxfam_618,high,same rank/count/budget signature with opposite invariant verdict
mc_a_10,same_descriptor_opposite_shared_verdict,n4|k2|m2|r2|b4,39,"0,1",ctxfam_26;ctxfam_55;ctxfam_62;ctxfam_131;ctxfam_173;ctxfam_190;ctxfam_234;ctxfam_273,high,same rank/count/budget signature with opposite invariant verdict
mc_a_11,same_descriptor_opposite_shared_verdict,n4|k3|m2|r2|b6,32,"0,1",ctxfam_27;ctxfam_34;ctxfam_57;ctxfam_155;ctxfam_161;ctxfam_172;ctxfam_219;ctxfam_246,high,same rank/count/budget signature with opposite invariant verdict
mc_a_12,same_descriptor_opposite_shared_verdict,n7|k3|m2|r4|b6,41,"0,1",ctxfam_35;ctxfam_73;ctxfam_75;ctxfam_137;ctxfam_193;ctxfam_243;ctxfam_268;ctxfam_431,high,same rank/count/budget signature with opposite invariant verdict
mc_a_13,same_descriptor_opposite_shared_verdict,n6|k3|m2|r2|b6,38,"0,1",ctxfam_36;ctxfam_141;ctxfam_231;ctxfam_290;ctxfam_317;ctxfam_372;ctxfam_533;ctxfam_546,high,same rank/count/budget signature with opposite invariant verdict
mc_a_14,same_descriptor_opposite_shared_verdict,n7|k5|m2|r2|b10,30,"0,1",ctxfam_38;ctxfam_78;ctxfam_149;ctxfam_241;ctxfam_267;ctxfam_384;ctxfam_413;ctxfam_417,high,same rank/count/budget signature with opposite invariant verdict
mc_a_15,same_descriptor_opposite_shared_verdict,n4|k4|m2|r2|b8,27,"0,1",ctxfam_39;ctxfam_119;ctxfam_199;ctxfam_226;ctxfam_361;ctxfam_482;ctxfam_570;ctxfam_572,high,same rank/count/budget signature with opposite invariant verdict
mc_a_16,same_descriptor_opposite_shared_verdict,n5|k3|m2|r2|b6,33,"0,1",ctxfam_53;ctxfam_203;ctxfam_210;ctxfam_311;ctxfam_341;ctxfam_347;ctxfam_382;ctxfam_424,high,same rank/count/budget signature with opposite invariant verdict
mc_a_17,same_descriptor_opposite_shared_verdict,n7|k2|m2|r3|b4,35,"0,1",ctxfam_61;ctxfam_95;ctxfam_110;ctxfam_156;ctxfam_165;ctxfam_198;ctxfam_229;ctxfam_245,high,same rank/count/budget signature with opposite invariant verdict
mc_a_18,same_descriptor_opposite_shared_verdict,n6|k2|m2|r2|b4,31,"0,1",ctxfam_63;ctxfam_76;ctxfam_93;ctxfam_97;ctxfam_127;ctxfam_143;ctxfam_157;ctxfam_319,high,same rank/count/budget signature with opposite invariant verdict
mc_a_19,same_descriptor_opposite_shared_verdict,n6|k5|m2|r2|b10,36,"0,1",ctxfam_89;ctxfam_217;ctxfam_220;ctxfam_227;ctxfam_312;ctxfam_339;ctxfam_461;ctxfam_483,high,same rank/count/budget signature with opposite invariant verdict
mc_a_20,same_descriptor_opposite_shared_verdict,n6|k4|m2|r2|b8,42,"0,1",ctxfam_101;ctxfam_182;ctxfam_200;ctxfam_214;ctxfam_254;ctxfam_271;ctxfam_274;ctxfam_307,high,same rank/count/budget signature with opposite invariant verdict
mc_a_21,same_descriptor_opposite_shared_verdict,n5|k2|m2|r2|b4,27,"0,1",ctxfam_145;ctxfam_292;ctxfam_356;ctxfam_359;ctxfam_366;ctxfam_394;ctxfam_442;ctxfam_467,high,same rank/count/budget signature with opposite invariant verdict
mc_a_22,same_descriptor_opposite_shared_verdict,n7|k2|m2|r2|b4,35,"0,1",ctxfam_294;ctxfam_369;ctxfam_406;ctxfam_541;ctxfam_545;ctxfam_562;ctxfam_601;ctxfam_613,high,same rank/count/budget signature with opposite invariant verdict
mc_a_23,positive_shared_augmentation_threshold,n5|k4|m2|r2|b8,1,0,ctxfam_3,medium,threshold=3
mc_a_24,conditioned_exact_invariant_fail,n5|k2|m2|r3|b4,1,0,ctxfam_4,high,context-invariance gap
mc_a_25,positive_shared_augmentation_threshold,n5|k2|m2|r3|b4,1,0,ctxfam_4,medium,threshold=1
mc_a_26,conditioned_exact_invariant_fail,n4|k3|m2|r4|b6,1,0,ctxfam_6,high,context-invariance gap
mc_a_27,positive_shared_augmentation_threshold,n4|k3|m2|r4|b6,1,0,ctxfam_6,medium,threshold=1
mc_a_28,conditioned_exact_invariant_fail,n5|k4|m2|r5|b8,1,0,ctxfam_8,high,context-invariance gap
mc_a_29,positive_shared_augmentation_threshold,n5|k4|m2|r5|b8,1,0,ctxfam_8,medium,threshold=1
mc_a_30,conditioned_exact_invariant_fail,n4|k2|m2|r3|b4,1,0,ctxfam_10,high,context-invariance gap
mc_a_31,positive_shared_augmentation_threshold,n4|k2|m2|r3|b4,1,0,ctxfam_10,medium,threshold=1
mc_a_32,positive_shared_augmentation_threshold,n5|k3|m2|r5|b6,1,0,ctxfam_11,medium,threshold=3
mc_a_33,conditioned_exact_invariant_fail,n6|k4|m2|r5|b8,1,0,ctxfam_13,high,context-invariance gap
mc_a_34,positive_shared_augmentation_threshold,n6|k4|m2|r5|b8,1,0,ctxfam_13,medium,threshold=1
mc_a_35,positive_shared_augmentation_threshold,n6|k5|m2|r6|b10,1,0,ctxfam_14,medium,threshold=4
mc_a_36,family_enlargement_flip,n5|k4|m2|r2|b8,1,1->0,ctxfam_16,medium,shared verdict changed after adding one context
