claim_id,short_name,statement,status,evidence_type,confidence,key_files,next_action
OCP-001,Formal OCP tuple,An OCP system can be formalized as a protected/disturbance/correction tuple with exact and asymptotic branches.,PROVED,repo-local definition and consistency checks,High,docs/formalism/formal-theory.md,Use as the primary formal language.
OCP-002,Exact orthogonal projection theorem,"If H = S ⊕ D with S orthogonal to D, orthogonal projection onto S exactly recovers the protected component of any state s+d.",PROVED,linear-algebra proof and tests,High,docs/theorem-candidates/central-theorem.md; tests/math/test_core_projectors.py,Promote as the clean finite-dimensional backbone.
OCP-003,Indistinguishability no-go,"If S ∩ D is nontrivial, no single-valued recovery map can recover s from x=s+d for all s in S and d in D.",PROVED,elementary contradiction proof,High,docs/impossibility-results/no-go-results.md,Promote as the strongest exact no-go statement.
OCP-004,Continuous damping theorem,The flow xdot = -k P_D x leaves S fixed and exponentially suppresses D.,PROVED,closed-form solution and tests,High,docs/theorem-candidates/backup-theorems.md; tests/math/test_core_projectors.py,Use as the bridge from exact correction to asymptotic correction.
OCP-005,QEC exact anchor,Knill-Laflamme style exact correction fits OCP when syndrome sectors are orthogonal and recoverable.,CONDITIONAL,standard QEC theorem plus repo-local rewrite,High,docs/qec/qec-in-ocp.md; tests/math/test_qec_knill_laflamme.py,Keep exact but conditional on KL-type assumptions.
OCP-006,Helmholtz/Leray exact continuous anchor,Periodic Helmholtz projection gives an exact OCP recovery operator for divergence-free fields under additive gradient contamination.,PROVED,FFT operator construction and tests,High,docs/mhd/divergence-cleaning-in-ocp.md; tests/math/test_mhd_projection.py,Promote heavily as the best exact continuous example.
OCP-007,GLM as asymptotic OCP,GLM divergence cleaning fits OCP as an asymptotic correction architecture rather than an exact projector.,CONDITIONAL,implementation analysis and empirical reduction tests,Medium,docs/mhd/glm-and-asymptotic-correction.md; tests/examples/test_glm_decay.py,"Present as a good asymptotic example, not exact correction."
OCP-008,Control-theoretic instantiation,Observer/controller designs instantiate OCP when the protected/disturbance split is invariant and feedback acts only on disturbance coordinates.,CONDITIONAL,structural control analysis,Medium,docs/control/control-extension.md,Keep conditional and design-oriented.
OCP-009,Universal scalar correction capacity,"There exists one scalar correction-capacity number that nontrivially classifies QEC, MHD projection, GLM, and control architectures.",OPEN,failed unification attempt,Low,NOVELTY_AND_LIMITS.md; docs/impossibility-results/no-go-results.md,Do not promote without a better category-specific definition.
OCP-010,Topological Adam / ML extension,Current optimizer work is a genuine OCP instantiation rather than a loose bridge.,ANALOGY ONLY,local sibling-repo evidence is too weak,Low,docs/disproven-or-weak/weak-extensions.md,Keep secondary and unpromoted.
OCP-011,Engineering design value,OCP yields practical design rules for building correction operators and recognizing when a correction architecture is underpowered.,CONDITIONAL,operator examples and no-go criteria,Medium,docs/applications/practical-use-cases.md,"Use as the main practical pitch, but keep the domain assumptions explicit."
OCP-012,Exact-to-asymptotic bridge,OCP gives a meaningful bridge between discrete exact correction and continuous asymptotic correction.,CONDITIONAL,formalism + exact and asymptotic branches,Medium,docs/formalism/exact-vs-asymptotic.md,Promote after upgrading the bridge from framework language to a sharper theorem statement.
OCP-013,Invariant-split generator theorem,"If K annihilates S, preserves D, and its restriction to D is exponentially stable, then the flow xdot=-Kx preserves S and asymptotically suppresses D.",PROVED,linear ODE proof and tests,High,docs/theorem-candidates/generator-theorems.md; tests/math/test_continuous_generators.py,Promote as the strongest next-step theorem beyond the projector case.
OCP-014,Self-adjoint PSD corollary,"If K is self-adjoint positive semidefinite with ker(K)=S and spectral gap lambda_*>0 on S^perp, then ||e^{-tK}x-P_S x|| <= e^{-lambda_* t}||P_D x||.",PROVED,spectral proof and tests,High,docs/theorem-candidates/generator-theorems.md; tests/math/test_continuous_generators.py,Use as the cleanest grounded continuous-time strengthening.
OCP-015,Mixing no-go for linear flows,"If P_S K P_D is nonzero, then disturbances generically leak into the protected coordinates and the flow is not an OCP correction flow preserving S pointwise.",PROVED,derivative-at-zero argument and tests,High,docs/impossibility-results/no-go-results.md; tests/math/test_continuous_generators.py,Promote as the strongest new linear-flow failure criterion in the repo.
OCP-016,Exact correction rank lower bound,"For an exact linear recovery on V = S ⊕ D with correction operator C = I - R, one must have rank(C) >= dim(D) and rank(R) >= dim(S).",PROVED,linear-algebra proof and tests,High,docs/theorem-candidates/capacity-theorems.md; tests/math/test_capacity.py,Promote as the cleanest minimum-structure theorem in the repo.
OCP-017,Sector distinguishability lower bound,Pairwise orthogonal nonzero exact-correction sectors require at least as many distinguishable correction labels as sectors.,CONDITIONAL,sector-based argument plus QEC example,Medium,docs/theorem-candidates/capacity-theorems.md; tests/math/test_capacity.py,Keep this branch-specific and avoid overstating it beyond the exact sector model.
OCP-018,Category-specific capacity view,OCP supports branch-specific correction-capacity notions even though a universal scalar capacity remains unsupported.,CONDITIONAL,"definitions, lower bounds, and examples across branches",Medium,docs/theorem-candidates/capacity-theorems.md; docs/open-questions/viable-next-directions.md,Develop this further before treating it as a mature theory.
