anomaly_id,type,family,descriptor_signature,count,evidence,severity
a_0,same_descriptor_opposite_verdict,multi_context_shared,n4|m8|r2|i-74.80,2,ctx_727;ctx_1086,high
a_1,same_descriptor_opposite_verdict,multi_context_shared,n5|m6|r2|i-49.30,2,ctx_748;ctx_1216,high
a_2,same_descriptor_opposite_verdict,multi_context_shared,n5|m6|r2|i-48.43,2,ctx_755;ctx_1155,high
a_3,same_descriptor_opposite_verdict,multi_context_shared,n4|m8|r2|i-75.74,2,ctx_757;ctx_924,high
a_4,same_descriptor_opposite_verdict,multi_context_shared,n6|m6|r2|i-47.56,2,ctx_778;ctx_1210,high
a_5,same_descriptor_opposite_verdict,multi_context_shared,n5|m8|r2|i-74.89,2,ctx_809;ctx_998,high
a_6,same_descriptor_opposite_verdict,multi_context_shared,n4|m4|r2|i-23.94,2,ctx_845;ctx_1237,high
a_7,same_descriptor_opposite_verdict,multi_context_shared,n6|m8|r2|i-75.33,2,ctx_1066;ctx_1106,high
a_8,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i9.25,2,mt_1252;mt_1741,high
a_9,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i8.39,4,mt_1259;mt_1419;mt_1550;mt_1593,high
a_10,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i8.17,3,mt_1268;mt_1294;mt_1789,high
a_11,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i8.62,4,mt_1272;mt_1380;mt_1644;mt_1646,high
a_12,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i7.10,2,mt_1274;mt_1771,high
a_13,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i7.18,3,mt_1275;mt_1608;mt_1696,high
a_14,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i9.49,2,mt_1282;mt_1569,high
a_15,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i7.82,3,mt_1283;mt_1311;mt_1562,high
a_16,same_descriptor_opposite_verdict,multi_terminal_allocation,n6|m4|r4|i7.73,2,mt_1284;mt_1599,high
