category,case_name,expected_answer,tool_answer,independent_answer,comparison,pass,evidence_level,notes
Exact / OCP,Orthogonal exact recovery,exact,exact,exact,exact match,yes,theorem-backed exact anchor,Direct projection geometry agrees with the exact projector branch.
Exact / OCP,Overlap / indistinguishability no-go,impossible,impossible,impossible,exact match,yes,theorem-backed no-go anchor,Non-orthogonal disturbance direction must contaminate the recovered state.
Exact / OCP,Exact sector recovery,exact,exact,exact,exact match,yes,theorem-linked QEC anchor,Bit-flip sector recovery remains exact on the tracked code space.
Constrained observation / PVRT,Fiber collision exact no-go at analytic ε=0,impossible,impossible,impossible,exact match,yes,explicit analytic benchmark,Zero epsilon collapses the protected scalar on the observation fibers.
Constrained observation / PVRT,Collapse-modulus lower-bound example,exact-with-positive-noise-lower-bound,exact-with-positive-noise-lower-bound,exact-with-positive-noise-lower-bound,exact match,yes,analytic lower-bound formula,The tool lower-bound output agrees with the direct adversarial formula.
Constrained observation / PVRT,Restricted-linear exact no-go before augmentation,impossible,impossible,impossible,exact match,yes,restricted-linear row-space check,Protected row is outside the active observation row space.
Constrained observation / PVRT,Minimal augmentation theorem case,exact-min-1,exact-min-1,exact-min-1,exact match,yes,restricted-linear brute-force augmentation search,"One added measurement row is enough, and the brute-force subset search agrees."
Constrained observation / PVRT,Weaker target exact on the same restricted-linear record,exact,exact,exact,exact match,yes,restricted-linear weaker-versus-stronger split,The same observation rows recover x2+x3 exactly while x3 remains impossible.
Constrained observation / PVRT,Same-rank exact case,exact,exact,exact,exact match,yes,restricted-linear capacity check,Row rank is sufficient only when the protected row space is already contained.
Constrained observation / PVRT,Same-rank insufficiency case,impossible,impossible,impossible,exact match,yes,restricted-linear capacity counterexample,"Same observation rank, opposite recoverability verdict."
Constrained observation / PVRT,Qubit phase-loss no-go,impossible,impossible,impossible,exact match,yes,family-specific analytic qubit formula,Full Bloch target fails once phase freedom opens.
Constrained observation / PVRT,Qubit weaker target exactness,exact,exact,exact,exact match,yes,family-specific weaker-target split,The z-only target remains exact under the same fixed-basis record.
Constrained observation / PVRT,Periodic cutoff threshold failure,impossible,impossible,impossible,exact match,yes,family-specific periodic support threshold,Cutoff 3 misses active mode 4 support.
Constrained observation / PVRT,Periodic cutoff threshold repair,exact,exact,exact,exact match,yes,family-specific periodic support threshold,Cutoff 4 contains the whole functional support.
Constrained observation / PVRT,Periodic lower-complexity functional exactness,exact,exact,exact,exact match,yes,family-specific periodic weaker-target threshold,Low-mode functional is recoverable earlier than the stronger full-weighted target.
Constrained observation / PVRT,Diagonal history threshold failure,impossible,impossible,impossible,exact match,yes,family-specific control threshold,History horizon 2 is below the interpolation threshold for the second moment.
Constrained observation / PVRT,Diagonal history threshold repair,exact,exact,exact,exact match,yes,family-specific control threshold,Horizon 3 reaches the first exact threshold.
Constrained observation / PVRT,Hidden protected direction remains impossible,impossible,impossible,impossible,exact match,yes,control no-go by unsensed protected direction,No finite history can recover the hidden protected coordinate without sensing it.
Physics-supported lanes,Periodic Helmholtz / GLM split,exact-better-than-glm,exact-better-than-glm,exact-better-than-glm,exact match,yes,periodic projection versus damping benchmark,Exact projection should dominate short GLM cleaning on the tracked periodic field.
Physics-supported lanes,Periodic incompressible velocity projection,exact,exact,exact,exact match,yes,periodic CFD exact branch,Periodic CFD projection remains exact on the tracked benchmark.
Physics-supported lanes,Gauge / Maxwell transverse projection,exact-improves-transverse,exact-improves-transverse,exact-improves-transverse,exact match,yes,gauge projection benchmark,Transverse projection stays aligned with the exact branch expectations.
Physics-supported lanes,Naive bounded-domain transplant failure,impossible,impossible,impossible,exact match,yes,theorem-linked boundary counterexample,Periodic projector transplant fails the bounded protected class.
Physics-supported lanes,Restricted bounded-domain exact family,exact,exact,exact,exact match,yes,restricted exact bounded-domain result,Boundary-compatible Hodge family stays exact on the tracked benchmark.
Physics-supported lanes,Divergence-only bounded no-go,impossible,impossible,impossible,exact match,yes,bounded divergence-only no-go witness,Different bounded incompressible states share the same divergence record.
Physics-supported lanes,Finite-time exactness failure for smooth linear flow,asymptotic-only,asymptotic-only,asymptotic-only,exact match,yes,continuous-generator no-go benchmark,Finite-time exact recovery remains impossible while asymptotic suppression stays available.
