system_id,row_kind,family,group_id,role,n,p,q,k,total_budget,stack_rank,target_rank,amount_signature,local_exact_all,invariant_exact,exact_stack,rank_lb_satisfied,null_intersection_dim,rowspace_residual,collision_gap,collision_gap_mode,cid,context_gap,agreement_basis_dim,lift_rank,lift_residual,delta_free,delta_c,library_rank_gain,library_full_feasible,restricted_aug_found,restricted_aug_rows,descriptor_dfmi,descriptor_idelb,descriptor_cl,notes
inv_0,system,compatibility_exact,,exact,8,5,3,4,20,8,3,n8|p5|q3|k4|b20|r8,1,1,1,1,0,4.0659725835184824e-14,0.0,exact_low_null_dim,1.5593618942426743e-13,0,3,3,2.0278884909079655e-14,0,0,0,0,0,,,,,agreement compatibility satisfied
inv_1,system,compatibility_exact,,exact,8,4,2,4,16,8,2,n8|p4|q2|k4|b16|r8,1,1,1,1,0,3.1405774159525925e-14,0.0,exact_low_null_dim,4.044931175230247e-14,0,2,2,1.3341167180591464e-14,0,0,0,0,0,,,,,agreement compatibility satisfied
inv_2,system,compatibility_exact,,exact,8,4,2,3,12,8,2,n8|p4|q2|k3|b12|r8,1,1,1,1,0,1.3396551394845248e-14,0.0,exact_low_null_dim,2.0326482703839956e-14,0,2,2,7.643625500567855e-15,0,0,0,0,0,,,,,agreement compatibility satisfied
inv_3,system,compatibility_exact,,exact,9,4,3,2,8,5,3,n9|p4|q3|k2|b8|r5,1,1,1,1,4,1.5965995300988394e-14,1.5965995300988394e-14,proxy_rowspace_residual,2.715511106784476e-14,0,3,3,1.4013460015051801e-14,0,0,0,0,0,,,,,agreement compatibility satisfied
inv_4,system,compatibility_exact,,exact,7,4,3,3,12,6,3,n7|p4|q3|k3|b12|r6,1,1,1,1,1,1.8297072484112797e-14,0.0,exact_low_null_dim,8.196905236120315e-14,0,3,3,1.5283086050596228e-14,0,0,0,0,0,,,,,agreement compatibility satisfied
inv_5,system,compatibility_exact,,exact,8,5,3,4,20,8,3,n8|p5|q3|k4|b20|r8,1,1,1,1,0,1.0561950234666245e-13,0.0,exact_low_null_dim,6.748777200247693e-14,0,3,3,2.939135918979563e-14,0,0,0,0,0,,,,,agreement compatibility satisfied
inv_6,system,compatibility_exact,,exact,9,5,2,2,10,8,2,n9|p5|q2|k2|b10|r8,1,1,1,1,1,2.6505488047604623e-14,0.0,exact_low_null_dim,4.6386216796848947e-14,0,2,2,1.3707995214982162e-14,0,0,0,0,0,,,,,agreement compatibility satisfied
inv_7,system,compatibility_exact,,exact,6,4,2,2,8,6,2,n6|p4|q2|k2|b8|r6,1,1,1,1,0,2.188622288980157e-14,0.0,exact_low_null_dim,4.138869196888789e-14,0,2,2,1.1266839551231584e-14,0,0,0,0,0,,,,,agreement compatibility satisfied
inv_8,system,context_pair,pair_0,same_amount_exact,6,2,1,4,8,2,1,n6|p2|q1|k4|b8|r2,1,1,1,1,4,1.793620188084545e-15,1.793620188084545e-15,proxy_rowspace_residual,2.482534153247273e-15,0,2,2,6.0402662910232525e-15,0,0,0,0,0,,,,,descriptor pair exact
inv_9,system,context_pair,pair_0,same_amount_fail,6,2,1,4,8,5,1,n6|p2|q1|k4|b8|r5,1,0,1,1,1,3.032479232980858e-15,0.0,exact_low_null_dim,3.512245928387259,1,0,0,inf,1,1,0,0,0,,,,,descriptor pair fail
