counterexample_id,counterexample_type,weakened_assumption,related_witness_id,n,p,q,k,total_budget,stack_rank,amount_signature,local_exact_all,invariant_exact,agreement_exact,cid,free_threshold,library_defect,library_rank_gain,restricted_found,restricted_rows,status,failure_boundary,notes
pc_0,descriptor_only_failure,amount_only_descriptor_classification,pw_70;pw_71,9,2,1,2,4,3,n9|p2|q1|k2|b4,1,0,0,4.66172793254531,1,0,6,1,2,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_1,descriptor_only_failure,amount_only_descriptor_classification,pw_74;pw_75,7,2,1,3,6,4,n7|p2|q1|k3|b6,1,0,0,3.5222287563185946,1,0,7,1,1,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_2,descriptor_only_failure,amount_only_descriptor_classification,pw_78;pw_79,8,2,1,3,6,4,n8|p2|q1|k3|b6,1,0,0,6.705305078351785,1,0,7,1,1,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_3,descriptor_only_failure,amount_only_descriptor_classification,pw_82;pw_83,9,2,1,2,4,3,n9|p2|q1|k2|b4,1,0,0,2.311588884862773,1,0,6,1,2,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_4,descriptor_only_failure,amount_only_descriptor_classification,pw_86;pw_87,6,2,1,4,8,5,n6|p2|q1|k4|b8,1,0,0,6.5280073238480565,1,0,6,1,2,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_5,descriptor_only_failure,amount_only_descriptor_classification,pw_90;pw_91,9,2,1,2,4,3,n9|p2|q1|k2|b4,1,0,0,3.7907342954432557,1,0,6,1,1,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_6,descriptor_only_failure,amount_only_descriptor_classification,pw_94;pw_95,8,2,1,2,4,3,n8|p2|q1|k2|b4,1,0,0,5.529629335936877,1,0,6,1,2,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_7,descriptor_only_failure,amount_only_descriptor_classification,pw_98;pw_99,6,2,1,2,4,3,n6|p2|q1|k2|b4,1,0,0,4.38696681539024,1,0,6,1,1,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_8,descriptor_only_failure,amount_only_descriptor_classification,pw_102;pw_103,7,2,1,4,8,5,n7|p2|q1|k4|b8,1,0,0,4.893472632021035,1,0,7,1,1,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_9,descriptor_only_failure,amount_only_descriptor_classification,pw_106;pw_107,7,2,1,4,8,5,n7|p2|q1|k4|b8,1,0,0,4.937235620460314,1,0,7,1,2,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_10,descriptor_only_failure,amount_only_descriptor_classification,pw_110;pw_111,8,2,1,4,8,5,n8|p2|q1|k4|b8,1,0,0,4.846323145364497,1,0,8,1,2,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_11,descriptor_only_failure,amount_only_descriptor_classification,pw_114;pw_115,7,2,1,2,4,3,n7|p2|q1|k2|b4,1,0,0,3.52990409148709,1,0,6,1,1,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
pc_12,descriptor_only_failure,amount_only_descriptor_classification,pw_118;pw_119,9,2,1,4,8,5,n9|p2|q1|k4|b8,1,0,0,5.546010792616132,1,0,8,1,2,PROVED ON SUPPORTED FAMILY,same amount signature opposite invariant verdict,descriptor+compatibility lift needed
