direction,trial_id,criterion,family,n,budget,selected_indices,rank,fisher_logdet_bits,a_opt_score,e_opt_score,capacity_proxy_bits,alpha,exact_recoverable,descriptor_signature,notes,witness_id,H_X_bits,H_tau_bits,target_lossless_rate_bits,max_fiber_size,max_target_values_per_fiber
target_specific_design,0,D,linear_sensor_pool,5,3,"2,4,7",3,14.81348916,-0.11612751,14.51686563,7.48844287,0.0,0,trial=0|k=3|rank=3,criterion selection output,W00001,,,,,
target_specific_design,0,A,linear_sensor_pool,5,3,"2,4,7",3,14.81348916,-0.11612751,14.51686563,7.48844287,0.0,0,trial=0|k=3|rank=3,criterion selection output,W00002,,,,,
target_specific_design,0,E,linear_sensor_pool,5,3,"2,3,4",3,14.30545736,-0.13060932,16.29303931,7.24452762,0.0,0,trial=0|k=3|rank=3,criterion selection output,W00003,,,,,
target_specific_design,0,alpha,linear_sensor_pool,5,3,"0,1,2",3,1.66522325,-23.28823031,0.04423615,3.49431813,1.0,1,trial=0|k=3|rank=3,criterion selection output,W00004,,,,,
target_specific_design,1,D,linear_sensor_pool,5,3,"3,4,7",3,18.65089134,-0.04627664,37.01181407,9.35850013,0.0,0,trial=1|k=3|rank=3,criterion selection output,W00005,,,,,
target_specific_design,1,A,linear_sensor_pool,5,3,"3,4,7",3,18.65089134,-0.04627664,37.01181407,9.35850013,0.0,0,trial=1|k=3|rank=3,criterion selection output,W00006,,,,,
target_specific_design,1,E,linear_sensor_pool,5,3,"3,4,7",3,18.65089134,-0.04627664,37.01181407,9.35850013,0.0,0,trial=1|k=3|rank=3,criterion selection output,W00007,,,,,
target_specific_design,1,alpha,linear_sensor_pool,5,3,"0,1,2",3,0.45554321,-34.19855521,0.02984981,3.17295658,1.0,1,trial=1|k=3|rank=3,criterion selection output,W00008,,,,,
target_specific_design,2,D,linear_sensor_pool,5,3,"2,3,5",3,17.08188366,-0.09298526,13.91619119,8.6061509,0.0,0,trial=2|k=3|rank=3,criterion selection output,W00009,,,,,
target_specific_design,2,A,linear_sensor_pool,5,3,"3,5,7",3,16.22748213,-0.08467994,21.49782903,8.17375004,0.0,0,trial=2|k=3|rank=3,criterion selection output,W00010,,,,,
target_specific_design,2,E,linear_sensor_pool,5,3,"3,5,7",3,16.22748213,-0.08467994,21.49782903,8.17375004,0.0,0,trial=2|k=3|rank=3,criterion selection output,W00011,,,,,
target_specific_design,2,alpha,linear_sensor_pool,5,3,"0,1,3",3,1.49254368,-20.24109207,0.05114043,3.31194321,1.0,1,trial=2|k=3|rank=3,criterion selection output,W00012,,,,,
target_specific_design,3,D,linear_sensor_pool,5,3,"3,5,8",3,16.06180322,-0.1027956,13.61816997,8.10303287,0.0,0,trial=3|k=3|rank=3,criterion selection output,W00013,,,,,
