witness_id,domain,system_family,dimension,measurement_count,context_count,target,descriptor_signature,record_model,conditioned_exact,invariant_exact,exact_recoverable,shared_aug_threshold,augmentation_restores,dls,target_fi_mean,target_fi_min,global_info_proxy,robustness_fraction,status_label,novelty_hint,notes
QW001,"A,B,F",qubit_equator_basis_Z,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign,projective Z basis record,0,0,0,,0,1.0,0.0,0.0,1.0,0.0,PROVED ON SUPPORTED FAMILY,CLOSE PRIOR ART / REPACKAGED,same-count opposite-verdict pair member (fails)
QW002,"A,B,F,E",qubit_equator_basis_X,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign,projective X basis record,1,1,1,,0,0.0,1.0,1.0,1.0,1.0,PROVED ON SUPPORTED FAMILY,CLOSE PRIOR ART / REPACKAGED,same-count opposite-verdict pair member (succeeds)
QW003,"A,B,G",qubit_phase_tomography_X_only,2,1,1,phase_phi_discrete,dim2|m1|ctx1|target_phase_full,single-basis X probabilities,0,0,0,1,1,1.0,1.0,1.0,1.0,0.0,PROVED ON SUPPORTED FAMILY,CLOSE PRIOR ART / REPACKAGED,phase sign is accessible; full phase is not with one basis
QW004,"A,B,G",qubit_phase_tomography_XY,2,2,1,phase_phi_discrete,dim2|m2|ctx1|target_phase_full,two-basis XY probabilities,1,1,1,0,1,0.0,2.0,2.0,2.0,1.0,PROVED ON SUPPORTED FAMILY,CLOSE PRIOR ART / REPACKAGED,one-added-basis restoration in finite sampled family
QW005,"C,F,G",qubit_context_gain_split,2,1,2,x_bloch_component,dim2|m1|ctx2|target_x_component,"context gains a1=1.0, a2=1.25",1,0,0,1,1,0.0,1.28125,1.0,2.5625,1.0,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,conditioned exact in each context; shared decoder fails until augmentation
QW006,"C,F,G",qubit_context_gain_split,2,1,2,x_bloch_component,dim2|m1|ctx2|target_x_component,"context gains a1=1.0, a2=1.5",1,0,0,1,1,0.0,1.625,1.0,3.25,1.0,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,conditioned exact in each context; shared decoder fails until augmentation
QW007,"C,F,G",qubit_context_gain_split,2,1,2,x_bloch_component,dim2|m1|ctx2|target_x_component,"context gains a1=1.0, a2=2.0",1,0,0,1,1,0.0,2.5,1.0,5.0,1.0,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,conditioned exact in each context; shared decoder fails until augmentation
QW008,"C,F,G",qubit_context_gain_split,2,1,2,x_bloch_component,dim2|m1|ctx2|target_x_component,"context gains a1=1.0, a2=3.0",1,0,0,1,1,0.0,5.0,1.0,10.0,1.0,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,conditioned exact in each context; shared decoder fails until augmentation
QW009,"H,C",two_qubit_distributed_local_local,4,2,2,zz_correlation,dim4|m2|ctx2|target_zz_corr,distributed local allocation: ZI + IZ,0,0,0,1,1,1.0,0.0,0.0,2.0,0.0,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,same budget as QW010 but target blind
QW010,"H,C",two_qubit_distributed_joint_plus_local,4,2,2,zz_correlation,dim4|m2|ctx2|target_zz_corr,distributed allocation: ZZ + ZI,1,1,1,0,0,0.0,1.0,1.0,2.0,1.0,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,same budget as QW009; allocation geometry restores target
QW011,"I,E,B",qubit_dephasing_phase_target,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign|dephase_sweep,X basis after dephasing p=0.000,1,1,1,,0,0.0,1.0,1.0,1.0,1.0,PROVED ON SUPPORTED FAMILY,ALREADY KNOWN IN SUBSTANCE,local recoverability degrades continuously; threshold collapse at p=0.5
QW012,"I,E,B",qubit_dephasing_phase_target,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign|dephase_sweep,X basis after dephasing p=0.083,1,1,1,,0,0.0,0.6302521008,0.6302521008,1.0,1.0,PROVED ON SUPPORTED FAMILY,ALREADY KNOWN IN SUBSTANCE,local recoverability degrades continuously; threshold collapse at p=0.5
QW013,"I,E,B",qubit_dephasing_phase_target,2,1,1,sign(cos(phi)),dim2|m1|ctx1|target_phase_sign|dephase_sweep,X basis after dephasing p=0.167,1,1,1,,0,0.0,0.375,0.375,1.0,1.0,PROVED ON SUPPORTED FAMILY,ALREADY KNOWN IN SUBSTANCE,local recoverability degrades continuously; threshold collapse at p=0.5
