anomaly_id,anomaly_type,descriptor_signature,evidence_cases,count,why_it_matters,status,notes
op_a_0,same_descriptor_opposite_invariant_verdict,n7|k2|m2|r2|b4,op_2;op_4;op_40;op_114;op_124;op_142;op_253;op_272;op_373;op_380,20,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_1,same_descriptor_opposite_invariant_verdict,n5|k3|m2|r4|b6,op_3;op_18;op_41;op_43;op_45;op_53;op_79;op_102;op_136;op_146,27,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_2,same_descriptor_opposite_invariant_verdict,n5|k4|m2|r5|b8,op_5;op_47;op_82;op_87;op_101;op_141;op_254;op_275;op_289;op_341,37,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_3,same_descriptor_opposite_invariant_verdict,n4|k3|m2|r2|b6,op_8;op_104;op_170;op_210;op_244;op_247;op_365;op_381;op_475;op_935,10,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_4,same_descriptor_opposite_invariant_verdict,n7|k2|m2|r3|b4,op_9;op_83;op_95;op_110;op_149;op_161;op_195;op_280;op_294;op_295,34,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_5,same_descriptor_opposite_invariant_verdict,n7|k3|m2|r2|b6,op_11;op_42;op_74;op_76;op_164;op_231;op_241;op_315;op_418;op_493,17,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_6,same_descriptor_opposite_invariant_verdict,n6|k5|m2|r2|b10,op_15;op_100;op_399;op_402;op_520;op_600;op_629;op_749;op_832;op_920,10,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_7,same_descriptor_opposite_invariant_verdict,n5|k2|m2|r3|b4,op_16;op_65;op_205;op_306;op_317;op_378;op_419;op_453;op_459;op_464,27,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_8,same_descriptor_opposite_invariant_verdict,n6|k3|m2|r2|b6,op_26;op_77;op_99;op_169;op_353;op_366;op_374;op_376;op_498;op_554,20,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_9,same_descriptor_opposite_invariant_verdict,n6|k2|m2|r3|b4,op_28;op_48;op_58;op_68;op_89;op_148;op_190;op_202;op_225;op_308,31,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_10,same_descriptor_opposite_invariant_verdict,n5|k2|m2|r2|b4,op_29;op_278;op_297;op_352;op_409;op_432;op_494;op_546;op_552;op_657,16,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
op_a_11,same_descriptor_opposite_invariant_verdict,n4|k2|m2|r2|b4,op_37;op_140;op_144;op_171;op_198;op_199;op_232;op_312;op_336;op_466,18,rank/count/budget signature does not classify invariant exactness,PROVED ON SUPPORTED FAMILY,anti-classifier persists under operator diagnostics
