family_id,mode,n,p_record,q_target,k_contexts,descriptor_signature,local_exact_all,invariant_exact_direct,invariant_exact_agreement,lift_direct_consistent,agreement_basis_dim,lifted_rank,lifted_residual_norm,stack_residual_norm,stack_alignment,free_aug_threshold,restricted_aug_threshold,restricted_aug_found,free_aug_constructed_exact,candidate_count,library_rank_gain,library_target_defect,library_full_pool_feasible,library_full_pool_exact,library_search_limit,library_found_within_limit,notes
ao_pair_0_good,paired_shared,8,4,3,4,n8|p4|q3|k4|budget16|stackr4|targetr3,1,1,1,1,4,4,8.869910196175953e-13,2.8978037483405645e-13,0.999999999999998,0,0,1,1,11,3,0,1,1,2,1,
ao_pair_0_bad,paired_mismatch,8,4,3,4,n8|p4|q3|k4|budget16|stackr4|targetr3,1,0,0,1,0,0,inf,7.50182224385962e-14,0.9999999999999994,3,,0,1,17,7,0,1,1,2,0,
ao_pair_1_good,paired_shared,7,4,3,4,n7|p4|q3|k4|budget16|stackr4|targetr3,1,1,1,1,4,4,8.10524978081228e-13,4.348638005864436e-13,0.9999999999999972,0,0,1,1,11,3,0,1,1,2,1,
ao_pair_1_bad,paired_mismatch,7,4,3,4,n7|p4|q3|k4|budget16|stackr4|targetr3,1,0,0,1,0,0,inf,8.111894501841767e-14,0.9999999999999994,3,,0,1,17,7,0,1,1,2,0,
ao_pair_2_good,paired_shared,7,4,2,2,n7|p4|q2|k2|budget8|stackr4|targetr2,1,1,1,1,4,4,1.2031129934424425e-13,3.03216359686773e-13,0.9999999999999971,0,0,1,1,11,3,0,1,1,2,1,
ao_pair_2_bad,paired_mismatch,7,4,2,2,n7|p4|q2|k2|budget8|stackr4|targetr2,1,0,0,1,0,0,inf,4.5704525782741026e-14,0.9999999999999996,2,,0,1,13,7,0,1,1,2,0,
ao_pair_3_good,paired_shared,8,4,2,3,n8|p4|q2|k3|budget12|stackr4|targetr2,1,1,1,1,4,4,3.5012512644019294e-13,1.1904904461271705e-13,0.9999999999999983,0,0,1,1,11,3,0,1,1,2,1,
ao_pair_3_bad,paired_mismatch,8,4,2,3,n8|p4|q2|k3|budget12|stackr4|targetr2,1,0,0,1,0,0,inf,4.4072358274551597e-14,0.9999999999999993,2,,0,1,15,7,0,1,1,2,0,
ao_pair_4_good,paired_shared,8,5,3,2,n8|p5|q3|k2|budget10|stackr5|targetr3,1,1,1,1,5,5,1.2786684918934496e-13,1.419259369147853e-13,0.9999999999999989,0,0,1,1,11,3,0,1,1,2,1,
ao_pair_4_bad,paired_mismatch,8,5,3,2,n8|p5|q3|k2|budget10|stackr5|targetr3,1,0,0,1,0,0,inf,8.309097810529309e-14,0.9999999999999993,3,,0,1,13,8,0,1,1,2,0,
